instrument_id,instrument_name,old_lot_size,lot_size
362,BANKINDIA,6000,6000
367,BALRAMCHIN,3500,4355
25,TVSMOTOR,1000,1400
49,TATACHEM,1500,2000
33,TITAN,750,750
354,BHARATFORG,1200,1500
110,PNB,4000,16000
209,JINDALSTEL,2250,5000
140,NBCC,3000,24615
57,SUNPHARMA,1100,1400
130,NMDC,3000,6700
220,IRB,3000,6706
222,IOC,3000,6500
23,UBL,700,700
305,DRREDDY,250,125
357,BEL,4950,7600
291,FORTIS,3500,4783
201,JSWSTEEL,3000,2700
177,LT,750,575
403,ADANIENT,4000,2000
334,CENTURYTEX,550,1928
197,JUSTDIAL,1400,1173
329,CIPLA,1000,1300
29,TORNTPOWER,500,3000
282,GLENMARK,900,1150
55,SUNTV,1000,1500
80,SBIN,3000,3000
41,TATASTEEL,1061,1700
401,ADANIPORTS,2500,2500
390,APOLLOHOSP,500,500
243,ICICIBANK,2750,1375
224,INFY,600,600
351,BIOCON,900,2300
15,VGUARD,3000,3655
331,CHENNPETRO,1500,6292
343,CANBK,1600,5400
64,SRTRANSFIN,600,644
379,AUROPHARMA,800,650
356,BEML,300,859
386,ASHOKLEY,4000,9000
216,ITC,2400,3200
125,OIL,2266,6897
38,TCS,250,300
96,RAMCOCEM,800,850
63,STAR,600,889
376,AXISBANK,1200,1200
250,HINDALCO,3500,4300
364,BANKBARODA,4000,11700
44,TATAMOTORS,2000,5700
151,MOTHERSUMI,1600,7000
183,KTKBANK,3800,12490
277,GODFRYPHLP,500,834
16,VEDL,1750,6200
159,MGL,600,600
43,TATAMTRDVR,2500,7547
172,M&M,1000,1400
106,POWERGRID,4000,4000
244,IBULHSGFIN,500,3100
330,CHOLAFIN,500,2500
353,BHARTIARTL,1700,1851
4,WIPRO,2400,3200
228,INDIGO,600,500
166,MARICO,2600,2000
252,HEXAWARE,1500,2000
21,UJJIVAN,1600,2817
10,VOLTAS,1000,1000
249,HINDPETRO,1575,2700
184,KSCL,1500,1453
236,IGL,2750,1375
257,HDFCBANK,500,550
240,ICICIPRULI,1500,1500
90,RELIANCE,1000,250
347,BPCL,1800,1800
313,DCBBANK,4500,6658
260,HCLTECH,700,700
259,HDFC,500,303
370,BAJFINANCE,500,250
155,MINDTREE,1200,800
18,UPL,1200,1300
405,ACC,400,500
101,PVR,400,407
229,INDIANB,2000,8346
179,LICHSGFIN,1100,2000
333,CESC,550,1125
308,DLF,2500,3300
225,INDUSTOWER ,1700,2800
375,BAJAJ-AUTO,250,250
160,MFSL,1200,1300
326,COLPAL,700,700
361,BATAINDIA,6000,550
187,KOTAKBANK,800,400
261,HAVELLS,2000,1000
120,PEL,302,550
384,ASIANPAINT,600,300
355,BERGEPAINT,2200,1100
309,DIVISLAB,400,200
344,CADILAHC,1600,2200
124,ONGC,3750,7700
174,LUPIN,700,850
248,HINDUNILVR,600,300
146,MUTHOOTFIN,1500,750
299,ESCORTS,1100,550
316,DABUR,1250,1250
393,AMBUJACEM,2500,3000
36,TECHM,1200,1200
2,ZEEL,1300,3000
398,AJANTPHARM,1200,450
325,CONCOR,1563,1563
65,SRF,500,125
74,SIEMENS,550,550
92,RECLTD,6000,6000
389,APOLLOTYRE,3000,5000
199,JUBLFOOD,500,250
119,PETRONET,3000,3000
395,AMARAJABAT,1000,1000
336,CEATLTD,400,605
339,CASTROLIND,4000,6228
112,PIDILITIND,500,500
168,MANAPPURAM,5000,6000
328,COALINDIA,2200,4200
290,GAIL,5500,5797
226,INDUSINDBK,800,900
318,CUMMINSIND,1200,1200
128,NTPC,5000,5700
30,TORNTPHARM,500,250
164,MCDOWELL-N,1250,1250
94,RBLBANK,2600,2900
369,BALKRISIND,500,400
298,EXIDEIND,3600,3600
271,GRASIM,950,950
46,TATAELXSI,1250,288
346,BRITANNIA,200,200
253,HEROMOTOCO,300,300
365,BANDHANBNK,1800,1800
47,TATACONSUM,1350,1350
256,HDFCLIFE,1100,1100
143,NAUKRI,250,250
274,GODREJPROP,500,650
413,COFORGE,375,375
